time,latitude,longitude,depth,mag,net
2014-04-05T00:35:07.400Z,38.823,-122.8433,2.6,1.3,nc
2014-04-05T00:33:57.220Z,-20.0523,-70.5273,25.29,5,us
2014-04-05T00:32:30.500Z,17.8805,-67.1747,12,2.2,pr
2014-04-05T00:23:55.800Z,44.6923,-112.3908,2.9,1.5,mb
2014-04-05T00:20:14.000Z,53.3013,-164.1525,25.6,2.5,ak
2014-04-05T00:18:04.180Z,38.838501,-122.8263321,2.73,0.19,nc
2014-04-05T00:16:25.300Z,18.4097,-64.3466,4,3.2,pr
2014-04-04T23:59:42.300Z,33.6848,-116.7048,17.6,1.1,ci
2014-04-04T23:48:38.900Z,38.8053,-122.7932,2.3,0.5,nc
2014-04-04T23:41:26.000Z,62.9229,-149.7528,100,1.4,ak
2014-04-04T23:40:23.210Z,33.5051667,-116.4721667,10.9,0.84,ci
2014-04-04T23:25:52.400Z,33.236,-115.6455,6.72,0.5,ci
2014-04-04T23:25:25.200Z,46.2058,-123.0322,0,1.7,uw
2014-04-04T23:04:37.000Z,64.987,-147.3351,0,1.6,ak
2014-04-04T23:04:04.200Z,38.8113,-122.8208,2.6,2,nc
2014-04-04T22:51:38.800Z,38.8137,-122.8222,2.9,0.9,nc
2014-04-04T22:45:53.700Z,47.5558,-122.9068,22.8,0.2,uw
2014-04-04T22:40:35.550Z,28.155,103.6407,26.19,5.4,us
2014-04-04T22:07:42.900Z,36.4705,-121.048,6.4,1.5,nc
2014-04-04T21:52:11.180Z,-53.5898,24.753,10,5.2,us
2014-04-04T21:48:39.000Z,35.9127,-97.2811,1.94,2.5,us
2014-04-04T21:47:05.900Z,38.8393,-122.8378,2.1,0.3,nc
2014-04-04T21:41:51.540Z,32.9205,-116.2486667,12.17,1.47,ci
2014-04-04T21:38:03.740Z,36.124,-118.0466667,1.47,1.65,ci
2014-04-04T21:36:40.100Z,19.4892,-155.58,0.5,2.1,hv
2014-04-04T21:32:21.600Z,38.8142,-122.8195,3.2,1.6,nc
2014-04-04T21:31:06.180Z,32.9253333,-116.2561667,12.36,2.45,ci
2014-04-04T21:30:36.090Z,33.1471667,-115.6998333,6.97,1.17,ci
2014-04-04T21:28:52.080Z,33.179,-115.6013333,1.33,1.85,ci
2014-04-04T21:26:33.850Z,51.1845,-178.1854,47.54,4.7,us
2014-04-04T21:25:33.960Z,33.1786667,-115.5983333,1.4,1.38,ci
2014-04-04T21:18:39.410Z,33.1763333,-115.6028333,1.66,2.07,ci
2014-04-04T21:17:31.000Z,63.0318,-148.3657,64.8,1.6,ak
2014-04-04T21:09:58.420Z,-22.5299,-174.0916,13.94,4.8,us
2014-04-04T20:55:27.740Z,33.9,-116.7316667,18.95,0.9,ci
2014-04-04T20:55:26.880Z,-20.6123,-70.7979,18.51,4,us
2014-04-04T20:51:37.000Z,60.0096,-152.736,100,2.6,ak
2014-04-04T20:45:44.800Z,19.2185,-155.4567,36.5,1.8,hv
2014-04-04T20:41:07.020Z,38.8081667,-122.7381667,2.72,1.33,nc
2014-04-04T20:40:46.000Z,60.3818,-152.5487,100,2.5,ak
2014-04-04T20:36:04.600Z,35.5515,-120.1035,3.2,1.5,nc
2014-04-04T20:32:45.410Z,-16.4863,-74.157,24.39,4.7,us
2014-04-04T20:12:18.300Z,38.8425,-122.8282,2.8,0.5,nc
2014-04-04T20:11:38.300Z,19.2562,-155.2387,30.3,2.7,hv
2014-04-04T20:08:07.000Z,37.2344,23.7688,107,5.5,us
2014-04-04T19:39:32.100Z,47.7738,-118.7303,0,1.8,uw
2014-04-04T19:35:57.000Z,62.3569,-149.6924,10,0.8,ak
2014-04-04T19:18:16.400Z,19.1152,-66.402,36,2.6,pr
2014-04-04T19:15:39.000Z,62.9441,-150.8099,100,2.2,ak
2014-04-04T19:09:44.700Z,44.6413,-123.379,0,1.2,uw
2014-04-04T18:59:59.000Z,61.9267,-149.8006,10.9,1.4,ak
2014-04-04T18:59:41.000Z,53.3877,-167.001,61.2,1.8,ak
2014-04-04T18:56:19.500Z,46.8552,-121.7457,3.6,-0.3,uw
2014-04-04T18:54:18.800Z,35.889,-97.283,5,3.4,us
2014-04-04T18:39:06.100Z,45.6015,-121.2377,0,0.8,uw
2014-04-04T18:31:03.300Z,46.4225,-119.2753,0,1,uw
2014-04-04T18:22:49.750Z,34.1368333,-116.4193333,11.28,0.98,ci
2014-04-04T18:22:33.730Z,36.5213333,-117.9055,9.55,2.08,ci
2014-04-04T18:16:44.000Z,61.0498,-141.1995,8.7,0.8,ak
2014-04-04T18:07:34.000Z,-20.0634,-70.844,18.56,4.6,us
2014-04-04T17:59:58.000Z,61.3062,-146.8774,26.4,1.6,ak
2014-04-04T17:59:01.680Z,33.9845,-116.772,19.32,1.08,ci
2014-04-04T17:57:55.210Z,37.529,-118.83,7.08,0.47,nc
2014-04-04T17:55:44.150Z,32.6738333,-115.8426667,9.08,1.42,ci
2014-04-04T17:53:17.000Z,63.4982,-151.2266,1.2,0.9,ak
2014-04-04T17:45:37.600Z,19.489,-155.437,2.2,1.9,hv
2014-04-04T17:40:18.030Z,35.8045,-117.5393333,0.01,1.15,ci
2014-04-04T17:36:51.660Z,-19.9102,-70.8816,11.48,4.1,us
2014-04-04T17:36:39.140Z,34.0551667,-116.9935,15.8,1.06,ci
2014-04-04T17:27:12.000Z,64.426,-148.1174,9.1,1.7,ak
2014-04-04T17:27:11.000Z,63.1134,-149.7683,100,1.7,ak
2014-04-04T17:26:01.300Z,37.5727,-118.9223,12.1,0.4,nc
2014-04-04T17:21:43.000Z,-19.686,-70.94,9.9,4.2,us
2014-04-04T17:05:18.000Z,61.9128,-147.7822,38.3,1.1,ak
2014-04-04T17:04:15.700Z,38.6455,-123.1107,0,1.8,nc
2014-04-04T17:00:54.800Z,38.8318,-122.7997,2.3,1,nc
2014-04-04T16:52:09.000Z,62.9952,-149.5574,79.7,1.8,ak
2014-04-04T16:20:10.330Z,32.6713333,-115.848,7.71,2.55,ci
2014-04-04T16:19:57.660Z,32.6768333,-115.845,7.79,1.83,ci
2014-04-04T16:08:04.000Z,61.9805,-149.2664,57.4,1.2,ak
2014-04-04T16:02:41.830Z,-20.4203,-70.8538,10,4.9,us
2014-04-04T16:01:45.300Z,36.5917,-121.205,7.9,1.8,nc
2014-04-04T15:58:50.900Z,38.8187,-122.763,2.4,1.2,nc
2014-04-04T15:58:31.000Z,60.3255,-152.0069,38,1.6,ak
2014-04-04T15:57:13.900Z,38.8323,-122.8082,2.6,0.6,nc
2014-04-04T15:44:27.400Z,36.7038,-121.3377,2.9,2,nc
2014-04-04T15:41:16.100Z,38.7922,-122.7582,2.7,0.3,nc
2014-04-04T15:26:45.000Z,61.5357,-150.7859,37.7,1.8,ak
2014-04-04T15:24:04.000Z,65.0361,-148.7438,18.7,0.9,ak
2014-04-04T15:21:00.460Z,-19.923,-70.9383,19.66,4.8,us
2014-04-04T15:20:29.000Z,38.8162,-122.7592,1.7,0.4,nc
2014-04-04T15:12:50.100Z,-19.7744,-70.9977,24.02,4.2,us
2014-04-04T15:12:11.700Z,38.8203,-122.7612,3.1,2.7,nc
2014-04-04T15:05:14.000Z,61.577,-148.2531,23,1.2,ak
2014-04-04T14:29:40.020Z,36.032,-117.7658333,1.93,0.01,ci
2014-04-04T14:28:58.900Z,18.1562,-64.9605,19,1.9,pr
2014-04-04T14:27:02.990Z,33.1538333,-116.4656667,11.71,1.14,ci
2014-04-04T14:14:06.910Z,33.6438333,-116.7546667,13.34,0.51,ci
2014-04-04T13:58:25.000Z,64.7155,-149.0828,13,0.7,ak
2014-04-04T13:39:57.500Z,38.8233,-122.8025,6.2,0.7,nc
2014-04-04T13:31:53.200Z,38.8183,-122.8197,2.9,0.9,nc
2014-04-04T13:21:29.100Z,40.3485,-121.8647,6,0.9,nc
2014-04-04T13:18:03.700Z,19.3768,-155.453,5.7,1.7,hv
2014-04-04T13:00:01.900Z,18.7131,-65.6717,63,2.4,pr
2014-04-04T12:59:29.280Z,33.284,-116.7775,14.28,1.09,ci
