LatDegree,LongDegree,OtherName
19.60556,-154.97861,Marie
19.62917,-155.02639,Lord JC 1
19.62944,-155.03056,Olaa Shaft
19.6275,-155.96528,Kailua Kona
19.61694,-155.98361,Kaneyoshi Irr
19.61889,-154.94972,Gapp
19.61833,-154.94833,Barvaria One
19.61528,-154.96361,Pryor
19.61556,-154.96278,Chesnut
19.61806,-154.95583,Bartlett
19.61444,-154.95139,Lucky Me
19.60972,-154.95722,Nailoa
19.61778,-154.96,All's Well
19.64528,-154.99806,Keaau
19.63083,-155.02889,Keaau Recharge
19.63083,-155.03111,Keaau 1
19.63111,-155.03083,Keaau 2
19.63139,-155.03111,Puna Plnt Pump 1
19.63194,-155.03111,Puna Plnt Pump 2
19.63222,-155.03111,Puna Plnt Pump 3
19.63528,-155.03639,Hawaiian Springs
19.63444,-155.05194,PPI
19.63722,-155.03889,Houle 1
19.63861,-155.03972,Island Princess
19.63361,-155.06806,Keaau-Shipman
19.64528,-155.15,Waiakea-Uka  Tun
19.6425,-155.15111,Waiakea-Uka  Tun
19.63278,-155.17861,Middle Flume Tun
19.63278,-155.17694,Middle Flume Tun
19.63194,-155.17861,Middle Flume Tun
19.63139,-155.17861,Middle Flume Tun
19.63361,-155.94778,Waiaha-DWS
19.63278,-155.9475,Waiaha-DWS
19.64472,-155.96806,Kalaoa Keopu Deep
19.63056,-155.98806,McCaskill
19.65722,-155.00917,Keaau Orchard 1
19.65639,-155.00972,Keaau Orchard 2
19.65333,-155.04944,PACRC-P 3
19.65028,-155.95222,Keopu-Puuhonua
19.65944,-155.95611,Komo Monitor
19.64722,-155.95417,Doutor Coffee #1
19.66556,-155.9525,Keopu-HHFDC
19.67278,-155.00278,Freeman
19.67667,-155.02556,Kipimawa ML
19.66778,-155.03111,Kings Landing 3
19.67333,-155.0625,Panaewa 1
19.67389,-155.06222,Panaewa 2
19.67333,-155.0625,Panaewa 3
19.67194,-155.055,Toyama Gardens
19.66417,-155.12556,Waiakea Monitor
19.67333,-155.17028,Kaumana
19.66528,-155.95806,Keahuola QLT 1
19.66861,-155.98139,Palani
19.67389,-156.00944,Honokohau Quarry
19.67833,-156.02222,Kaho Obs 3
19.68972,-155.01278,Kings Landing 2
19.68167,-155.18,Saddle Road A
19.68222,-155.96444,Honokohau
19.69028,-155.96917,Palani 1
19.69472,-155.99889,Kaloko Irr 1
19.69667,-156.00139,Kaloko Irr 2
19.68722,-156.02944,Kaho Obs. 1
19.68583,-156.02361,Kaho Obs. 2
19.70444,-156.03833,Dusty 1
19.70361,-156.03667,Kohanaiki 3
19.70222,-156.03583,Kohanaiki 4
19.70111,-156.035,Kohanaiki 5
19.69972,-156.03417,Kohanaiki 6
19.69833,-156.03306,Kohanaiki 7
19.69111,-156.03222,MW 401
19.69167,-156.03028,MW 402
19.69083,-156.03444,MW 400
19.69222,-156.03889,MW 300a
19.69194,-156.03861,MW 300b
19.69306,-156.03722,Kohanaiki MW 300c
19.69472,-154.99444,Kings Landing 1
19.71028,-155.04306,Hilo Airport 1
19.70806,-155.045,Hilo Airport 2
19.70472,-155.06194,Waiakea TH 1
19.70333,-155.06167,Waiakea TH 2
19.70528,-155.06056,Waiakea TH 3
19.70306,-155.06139,Waiakea 4
19.70306,-155.06111,Hill Unit 5A
19.70333,-155.06083,Hill Unit 5B
19.70361,-155.06111,Hill Unit 5C
19.70472,-155.06111,Kanoelehua Disp
19.70333,-155.06028,Hill Unit 6A
19.70306,-155.06028,Hill Unit 6B
19.70333,-155.06,Hill Unit 6C
19.70306,-155.06,Helco Kan 6-4
19.70917,-155.05944,Glover Quarry A
19.70944,-155.05889,Glover Quarry B
19.70139,-155.05722,Waiakea
19.71306,-155.07333,Waiakea Village
19.70694,-155.10694,Ponohawai 3
19.71,-155.13944,Piihonua C
19.69722,-155.18472,Olaa Flume Tun
19.70417,-155.97389,Hualalai
19.70472,-156.0375,Kohanaiki 2
19.715,-156.04417,Moana 9
19.715,-156.04417,Moana 9A
19.715,-156.04417,Moana 9B
19.72389,-155.06889,Shipman 1A  1B
19.72389,-155.06889,Shipman 2
19.72389,-155.06889,Shipman 3
19.72389,-155.06889,Shipman 4A  4B
19.72444,-156.05556,Keahole Point 8
19.72444,-156.05556,Keahole Point 9
19.72444,-156.05556,Keahole Point 10
19.72444,-156.05556,Keahole Point 11
19.72444,-156.05556,Keahole Point 12
19.725,-156.04972,Net Washing
19.7225,-156.05639,Kona Blue 10
19.7225,-156.05639,Kona Blue 10A
19.7225,-156.05639,Kona Blue 10B
19.72528,-156.05833,Mera 11
19.72528,-156.05833,Mera 11A
19.72528,-156.05833,Mera 11B
19.73111,-155.04889,PACRC-KSW 1
19.73111,-155.04889,PACRC-KFW 2
19.73639,-155.97806,Kohanaiki 1
19.7325,-155.97889,Kohanaiki 2
19.74167,-155.98194,Huehue Ranch 2
19.74583,-155.98222,Huehue Ranch 4
19.73222,-156.02972,Cooper
19.73194,-156.02778,Keahole Helco
19.73917,-156.03278,Keahole-DOT
19.73139,-156.03194,Keahole MW-11
19.73083,-156.04194,Keahole MW-13A
19.73083,-156.04194,Keahole MW-13B
19.73444,-156.05278,Keahole MW-14A
19.73444,-156.05278,Keahole MW-14B
19.73444,-156.05278,Keahole MW-14C
19.73611,-156.05,Dust Control
19.74889,-156.05083,North Point 12
19.74889,-156.05083,North Point 12A
19.74889,-156.05083,North Point 12B
19.74944,-155.53639,Pohakuloa TH
19.76111,-155.5675,Pohakuloa TH
19.75667,-155.98,Huehue Ranch 3
19.75972,-155.97583,Huehue Ranch 5
19.75,-155.98139,Huehue Ranch 1
19.76472,-155.11,Honolii Str Tun
19.77556,-155.12139,Pahoehoe Str Tun
19.77917,-155.84139,Puu Waawaa
19.77972,-155.94972,Kaupulehu Pot 6
19.78,-155.94611,Kaupulehu Pot 7
19.77722,-155.96222,Kaupulehu Pot 3
19.77722,-155.9575,Kaupulehu Pot 4
19.77861,-155.95361,Kaupulehu Pot 5
19.775,-155.96583,Kaupulehu Pot 1
19.775,-155.96611,Kaupulehu Pot 2
19.78444,-155.10111,Papaikou
19.81417,-155.11306,JJCO
19.78528,-155.14056,Kapue Stream Tun
19.78889,-155.13083,Kaieie Mauka
19.79194,-155.13139,Kaieie Mauka
19.79528,-155.95944,Kaupulehu Irr 1
19.79528,-155.95778,Kaupulehu Irr 2
19.79583,-155.95444,Kaupulehu Irr 3
19.79639,-155.95028,Kaupulehu Irr 4
19.79194,-155.98722,KI-1
19.79417,-155.98278,KI-2
19.79306,-155.985,KI-3
19.79528,-156.00444,Maniniowali 1
19.81194,-155.09583,Onomea 1
19.80889,-155.10222,Kim 1
19.81333,-155.83389,Puu Lani
19.7975,-155.94694,Kaupulehu
19.79806,-155.94278,Kaupulehu Irr 6
19.8025,-155.97056,Kona Village 1
19.80194,-155.97056,Kona Village 2
19.8025,-155.97083,Kona Village 3
19.81333,-155.98083,Hualalai Makai
19.81278,-155.99472,Kukio Lagoon 1
19.81417,-155.99917,Hartman
19.81667,-155.99917,Lucas
19.81083,-156.00028,Hoffee RO Supply
19.81028,-156.00028,Hoffee Cooling Salt
19.80306,-156.00889,900 Trust Kukio
19.81917,-155.09222,Onomea-Doty
19.81417,-155.09139,Lutkenhouse
19.82,-155.10917,Kawainui Str Tun
19.82056,-155.84167,Big Island C C 1
19.82222,-155.83778,Big Island C C 2
19.82611,-155.89278,Kiholo
19.83194,-155.97056,Kaupulehu Lot 4 Irr
19.83111,-155.98278,Chai
19.82667,-155.99278,Hualalai Salt 1
19.82472,-155.99306,Hualalai Salt 2
19.82861,-155.99111,Hualalai Salt 3
19.82861,-155.82444,Hualalai Salt 4
